reference,hypothesis,bleu_score,rouge1_score,rouge2_score,rougeL_score
"Good afternoon, sir. Did you just have a birthday? I don't have my chart with me right now, the nurse is bringing it.","Hello, sir. What is your age and what is your ethnicity?",0.061074723861665896,0.1142857142857143,0.0,0.1142857142857143
"You identify as African American, correct?",Happy belated birthday. What brings you in today?,0.0,0.14285714285714288,0.0,0.14285714285714288
"When was your last visit, sir?",The last time you were here was in oh seven right?,0.18181818181818182,0.23529411764705885,0.0,0.11764705882352942
"Yes, I see. Did we go over your M R I results?",What did the M R I show?,0.20980356838155134,0.4210526315789474,0.23529411764705885,0.4210526315789474
"Yes, I do. Well, the M R I demonstrated right contrast temporal mass.","Oh, I am so sorry. I do remember now It showed a new right temporal mass with contrast enhancement.",0.2631578947368421,0.4375,0.13333333333333333,0.3125
"Well, given this mass, and your new seizures, I am concerned that this could be a high grade glioma, we'll need to do more tests.","Well given the characteristics of your mass and the new onset of your seizures, I am thinking it's a high grade glioma.",0.39660240584973805,0.5306122448979592,0.29787234042553196,0.4897959183673469
Any medical issues running in your families?,I..,0.0,0.0,0.0,0.0
Anything else?,Did you do sleep study?,0.0,0.0,0.0,0.0
Any pain in your muscles?,How have you been feeling recently?,0.0,0.0,0.0,0.0
How about joint pain?,Any joint pain or muscle pain?,0.3333333333333333,0.4,0.25,0.4
"Okay, good.",What about weakness or loss of muscle strength?,0.0,0.0,0.0,0.0
Do you feel any stiffness or weakness in your muscle?,Back pain or stiffness?,0.055782540037107455,0.28571428571428575,0.0,0.14285714285714288
Do you have any back pain?,Thank you for the information.,0.1637461506155964,0.1818181818181818,0.0,0.1818181818181818
Okay.,Are your joints feeling more unstable?,0.0,0.0,0.0,0.0
Anyone in family with any blood or heart issues?,What about your family medical history? Any grams or bamps pass from any medical issue?,0.2,0.33333333333333337,0.0,0.33333333333333337
Anyone diabetic or with any other issues in family?,Any chronic illnesses like high blood pressure?,0.0,0.125,0.0,0.125
Can you tell me about your family? Did anyone in your family have any medical problems?,Hi there.,0.0,0.0,0.0,0.0
Anything for anyone else?,What is your mom's medical history?,0.0,0.0,0.0,0.0
It is good to see you again. How have you been?,Have I reviewed your medical history with you before?,0.08897082254631199,0.19999999999999998,0.0,0.19999999999999998
Have anything changes to your medical history or social history since the last time I saw you?,So then I will review it again.,0.03423586234882512,0.08333333333333333,0.0,0.08333333333333333
How old is the patient?,"Who is your primary doctor, miss?",0.16666666666666666,0.1818181818181818,0.0,0.1818181818181818
Seventy seven.,Do you know or remember how long you will be with us today?,0.0,0.0,0.0,0.0
"She was sedated with Ativan, correct?","No, I will just be a moment. So, what is going today young lady?",0.0,0.0,0.0,0.0
"Yeah, we had to sedate her. She wasn't doing so well upon arrival and appeared short of breath. She couldn't give us a history and we immediately had Xray come in to scan her lungs.",I was called in to interpret her O2 level results. Did she have her x-ray yet?,0.05718426913332361,0.18518518518518517,0.03846153846153846,0.14814814814814817
Did they find anything?,"I am not, she is right here. Hi miss, do you know what you are here for today? What is the man sitting with you?",0.0,0.0,0.0,0.0
The report showed what we believe to be free air under her right diaphragm.,"Miss? Hi, I am waiting for doctor to come interpret your x-ray. You had a chest and lung x-ray taken because of shortness of breath.",0.04,0.04878048780487805,0.0,0.04878048780487805
